anr;datum;titel_off_d;rechtsform;d1e1;d1e2;d1e3;d2e1;d2e2;d2e3;d3e1;d3e2;d3e3;dep;br-pos;legislatur;legisjahr;bv-pos;nr-pos;nrja;nrnein;sr-pos;srja;srnein;urheber;p-fdp;p-sps;p-svp;p-mitte;p-evp;p-gps;p-glp;p-ucsp;p-pda;p-sd;p-edu;p-fps;p-lega;p-kvp;p-mcg;p-cvp;p-bdp;p-lps;p-ldu;p-poch;p-rep;p-eco;p-sgv;p-sbv;p-sgb;p-travs;p-sav;p-vsa;p-vpod;p-voev;p-tcs;p-vcs;p-acs;p-sbk;p-ssv;p-gem;p-kdk;p-kkjpd;p-gdk;p-ldk;p-vdk;p-sodk;p-endk;p-fdk;p-edk;p-bpuk;nr-wahl;w-fdp;w-sp;w-svp;w-mitte;w-evp;w-gps;w-glp;w-csp;w-pda;w-sd;w-edu;w-fps;w-lega;w-kvp;w-mcg;w-cvp;w-bdp;w-lps;w-ldu;w-poch;w-rep;w-ubrige;ja-lager;nein-lager;keinepar-summe;leer-summe;freigabe-summe;unbekannt-summe;neutral-summe;volk;stand;annahme;berecht;stimmen;bet;leer;ungultig;gultig;volkja;volknein;volkja-proz;kt-ja;kt-nein;ktjaproz
25;26.11.1882;Bundesbeschluss betreffend die Vollziehung des Artikels 27 der Bundesverfassung;2;11;11.2;.;1;1.5;1.52;.;.;.;2;1;12;1881-1884;1;1;86;30;1;22;19;Eidgenössischer Verein, Katholisch-Konservative;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;3;0;648000;490149;75.64;.;4829;490149;172010;318139;35.09;3.5;18.5;15.91
26;11.05.1884;Bundesgesetz betreffend die Organisation des eidgenössischen Justiz- und Polizeidepartements;2;1;1.3;1.31;1;1.2;1.23;.;.;.;3;1;12;1881-1884;1;1;.;.;1;.;.;Eidgenössischer Verein, Katholisch-Konservative;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;3;0;634299;381140;60.09;.;16495;364645;149729;214916;41.06;9;13;40.91
27;11.05.1884;Bundesbeschluss betreffend die Patenttaxen der Handelsreisenden;2;1;1.5;1.52;4;4.1;4.13;.;.;.;6;1;12;1881-1884;1;1;71;40;1;25;15;Eidgenössischer Verein, Katholisch-Konservative;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;3;0;634299;381140;60.09;.;17370;363745;174195;189550;47.89;10.5;11.5;47.73
28;11.05.1884;Bundesgesetz betreffend die Ergänzung des Bundesstrafrechtes vom 4. Februar 1853;2;1;1.6;1.65;1;1.5;1.52;3;3.1;3.12;3;1;12;1881-1884;1;1;63;43;1;21;18;Eidgenössischer Verein;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;3;0;634299;381140;60.09;.;19146;361841;159068;202773;43.96;10.5;11.5;47.73
29;11.05.1884;Bundesbeschluss betreffend Gewährung eines Beitrags von 10'000 Franken an die Kanzleikosten der schweizerischen Gesandtschaft in Washington;2;2;2.7;.;;.;.;.;.;.;1;1;12;1881-1884;1;1;.;.;1;.;.;Katholisch-Konservative;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;3;0;634299;381140;60.09;.;23455;357552;137824;219728;38.55;6.5;15.5;29.55
30;25.10.1885;Bundesbeschluss betreffend theilweise Änderung der Bundesverfassung der schweizerischen Eidgenossenschaft;1;10;10.1;10.14;6;6.1;6.14;5;5.3;.;5;.;13;1884-1887;1;1;103;18;1;31;1;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;641689;387713;60.42;.;.;387713;230250;157463;59.39;15;7;68.18
31;15.05.1887;Bundesgesetz betreffend gebrannte Wasser;2;10;10.1;10.14;6;6.1;6.14;5;5.3;.;5;1;13;1884-1887;1;1;102;6;1;35;2;Brenner;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;3;1;649494;405618;62.45;.;.;405618;267122;138496;65.86;18.5;3.5;84.09
32;10.07.1887;Bundesbeschluss betreffend Ergänzung des Artikels 64 der Bundesverfassung vom 29. Mai 1874;1;4;4.1;4.12;;.;.;.;.;.;6;.;13;1884-1887;1;1;88;16;1;28;6;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;647071;274346;42.40;11463;1515;261368;203506;57862;77.86;20.5;1.5;93.18
33;17.11.1889;Bundesgesetz über Schuldbetreibung und Konkurs;2;4;4.1;.;1;1.6;1.64;.;.;.;3;1;14;1887-1890;1;1;91;29;1;13;4;Berner Agrarkonservative, Katholisch-Konservative;9999;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;3;1;661225;468618;70.87;3833;2547;462238;244317;217921;52.86;9;13;40.91
34;26.10.1890;Bundesbeschluss betreffend Ergänzung der Bundesverfassung vom 29. Mai 1874 durch einen Zusatz bezüglich des Gesetzgebungsrechtes über Unfall- und Krankenversicherung;1;10;10.2;10.24;.;.;.;.;.;.;6;.;14;1887-1890;1;1;112;2;1;38;0;.;9999;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;663531;396448;59.75;12409;8611;375428;283228;92200;75.44;20.5;1.5;93.18
